epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.025,2.60013,4.47565,1.98359,0.31909,0.05268,0.04314,0.00854,1.32349,9.14354,1.05659,0.0670653,0.000332673,0.000332673
2,210.666,2.58812,3.79535,2.04455,0.1267,0.15199,0.0697,0.01784,1.27266,10.182,1.02327,0.0340571,0.000657765,0.000657765
3,307.451,2.52953,3.66186,2.00153,0.29507,0.08125,0.03973,0.01302,1.30939,6.64113,1.01251,0.00104061,0.000974606,0.000974606
4,400.64,2.53026,3.6468,1.9588,0.14991,0.0915,0.07898,0.02481,1.26254,7.33001,0.98293,0.000962875,0.000962875,0.000962875
5,496.045,2.50172,3.46199,1.98077,0.36744,0.08941,0.05209,0.01419,1.2415,6.5938,0.97142,0.0009505,0.0009505,0.0009505
6,588.894,2.37885,3.36847,1.91683,0.60025,0.0878,0.06824,0.02042,1.22308,9.35318,0.97407,0.000938125,0.000938125,0.000938125
7,683.681,2.37774,3.45766,1.89113,0.3221,0.08011,0.05443,0.01871,1.2024,4.74136,0.96892,0.00092575,0.00092575,0.00092575
8,776.414,2.33518,3.31984,1.90441,0.16318,0.12094,0.08393,0.02704,1.18824,6.18612,0.9643,0.000913375,0.000913375,0.000913375
9,873.544,2.31455,3.3096,1.84903,0.36671,0.14083,0.08305,0.03092,1.20512,6.51889,0.94335,0.000901,0.000901,0.000901
10,967.09,2.28708,3.24056,1.84237,0.16812,0.17095,0.09602,0.02817,1.18999,6.01053,0.92897,0.000888625,0.000888625,0.000888625
11,1062.17,2.28924,3.20405,1.81407,0.19613,0.18793,0.10004,0.0327,1.18181,9.10448,0.92808,0.00087625,0.00087625,0.00087625
12,1155.42,2.27943,3.17791,1.82433,0.23134,0.11447,0.09357,0.03356,1.16107,7.2108,0.94827,0.000863875,0.000863875,0.000863875
13,1248.03,2.20944,3.14288,1.78297,0.15707,0.14831,0.10203,0.03549,1.16586,5.11483,0.94683,0.0008515,0.0008515,0.0008515
14,1339.3,2.19127,3.21441,1.78385,0.13935,0.19744,0.10203,0.03192,1.16233,7.25598,0.94286,0.000839125,0.000839125,0.000839125
15,1430.11,2.19928,3.07889,1.77798,0.25087,0.19767,0.13401,0.04255,1.13871,6.62375,0.87976,0.00082675,0.00082675,0.00082675
16,1521.11,2.18413,2.98932,1.76517,0.19735,0.21027,0.12627,0.04326,1.15181,5.79577,0.89567,0.000814375,0.000814375,0.000814375
17,1612.77,2.20094,3.10606,1.75069,0.18543,0.1665,0.1109,0.03532,1.17416,6.96046,0.93842,0.000802,0.000802,0.000802
18,1703.34,2.17509,3.04714,1.77181,0.17991,0.17966,0.13128,0.04932,1.15828,6.96406,0.92033,0.000789625,0.000789625,0.000789625
19,1793.77,2.17166,2.93864,1.75788,0.23016,0.17612,0.10839,0.03738,1.12321,5.57222,0.8983,0.00077725,0.00077725,0.00077725
20,1883.85,2.18128,2.91529,1.75603,0.21901,0.1919,0.12385,0.04345,1.15542,5.24882,0.91696,0.000764875,0.000764875,0.000764875
21,1974.5,2.13882,2.92839,1.72414,0.31033,0.20172,0.12905,0.04711,1.13282,5.56406,0.89595,0.0007525,0.0007525,0.0007525
22,2064.76,2.0733,2.93854,1.6764,0.18355,0.20911,0.13146,0.04844,1.1354,6.29046,0.90303,0.000740125,0.000740125,0.000740125
23,2154.69,2.07729,2.89728,1.66874,0.15966,0.19036,0.11636,0.03947,1.14401,6.01806,0.91581,0.00072775,0.00072775,0.00072775
24,2245.36,2.11434,2.93271,1.71552,0.22429,0.16918,0.12158,0.04524,1.13973,4.96678,0.90297,0.000715375,0.000715375,0.000715375
25,2336.03,2.05776,2.78809,1.67327,0.19076,0.2169,0.13006,0.04603,1.12786,6.47084,0.90016,0.000703,0.000703,0.000703
26,2426.16,2.10387,2.88056,1.71693,0.18879,0.25214,0.11473,0.04095,1.13394,6.83214,0.92603,0.000690625,0.000690625,0.000690625
27,2516.32,2.03054,2.73085,1.65954,0.19579,0.22827,0.14285,0.04889,1.12639,7.19775,0.89302,0.00067825,0.00067825,0.00067825
28,2606.69,2.06961,2.78729,1.69504,0.16287,0.22626,0.1188,0.03947,1.1451,7.92386,0.91278,0.000665875,0.000665875,0.000665875
29,2697.35,2.08452,2.81911,1.68985,0.19872,0.20018,0.13581,0.05196,1.11938,4.72952,0.87824,0.0006535,0.0006535,0.0006535
30,2788.35,2.0577,2.73663,1.67069,0.18678,0.24246,0.13886,0.04443,1.13659,6.19284,0.89881,0.000641125,0.000641125,0.000641125
31,2881.78,2.02926,2.7866,1.65193,0.14708,0.29095,0.11482,0.03846,1.10776,8.61243,0.85986,0.00062875,0.00062875,0.00062875
32,2972.55,2.01999,2.65693,1.66897,0.13101,0.19815,0.12446,0.04526,1.14426,8.79957,0.92008,0.000616375,0.000616375,0.000616375
33,3063.5,1.99807,2.68837,1.64751,0.19378,0.21065,0.13561,0.04006,1.13617,12.1642,0.88427,0.000604,0.000604,0.000604
34,3156.91,2.05657,2.74028,1.66367,0.13786,0.22047,0.13054,0.04821,1.11203,7.72683,0.87687,0.000591625,0.000591625,0.000591625
35,3247.95,1.99135,2.66809,1.66316,0.13633,0.22344,0.11626,0.0405,1.14372,11.5879,0.90667,0.00057925,0.00057925,0.00057925
36,3338.43,1.99108,2.63172,1.61591,0.17215,0.18054,0.12721,0.04855,1.15402,11.6478,0.92543,0.000566875,0.000566875,0.000566875
37,3428.75,2.0106,2.71008,1.60653,0.14169,0.25537,0.10007,0.03768,1.12661,11.2482,0.89524,0.0005545,0.0005545,0.0005545
38,3519.24,1.98182,2.61895,1.63197,0.22391,0.22867,0.1401,0.04855,1.10641,7.81439,0.89286,0.000542125,0.000542125,0.000542125
39,3610.1,1.97656,2.60919,1.63176,0.12746,0.21627,0.09988,0.03518,1.15649,8.51435,0.91826,0.00052975,0.00052975,0.00052975
40,3700.79,1.98824,2.55368,1.63739,0.14194,0.22096,0.10238,0.03766,1.14927,18.5005,0.90301,0.000517375,0.000517375,0.000517375
41,3791.25,1.97441,2.62643,1.62564,0.17132,0.29564,0.11119,0.03551,1.11997,12.0133,0.87246,0.000505,0.000505,0.000505
