epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.173,2.60029,3.48447,2.1209,0.73451,0.11429,0.13655,0.04382,2.75511,3.1489,2.20618,0.0668928,0.000166368,0.000166368
2,387.097,2.48579,3.07225,2.00653,0.18507,0.14777,0.13986,0.03969,2.73548,3.26567,2.21139,0.0337217,0.000328639,0.000328639
3,565.69,2.42323,2.9135,2.0367,0.42425,0.20886,0.17259,0.05624,2.68873,3.04868,2.16675,0.000546246,0.000486509,0.000486509
4,744.307,2.43489,2.92984,1.99872,0.19483,0.25322,0.16245,0.05265,2.61466,2.89333,2.09786,0.0004802,0.0004802,0.0004802
5,921.82,2.37267,2.79541,1.9813,0.29735,0.24233,0.216,0.0639,2.54768,2.58492,2.06465,0.0004736,0.0004736,0.0004736
6,1099.59,2.30762,2.73535,1.95323,0.5319,0.23714,0.20901,0.06093,2.67277,2.69952,2.12331,0.000467,0.000467,0.000467
7,1277.68,2.32295,2.62295,1.94643,0.22831,0.26234,0.22858,0.07659,2.55911,2.71765,2.04549,0.0004604,0.0004604,0.0004604
8,1457.75,2.31394,2.66278,1.87969,0.28447,0.25492,0.21205,0.06973,2.5727,2.68965,2.07604,0.0004538,0.0004538,0.0004538
9,1635.58,2.24677,2.58158,1.87399,0.36851,0.23007,0.23131,0.07116,2.5661,2.72285,2.06377,0.0004472,0.0004472,0.0004472
10,1813.26,2.26201,2.54016,1.92045,0.41341,0.28945,0.27912,0.09215,2.4677,2.62043,1.95427,0.0004406,0.0004406,0.0004406
11,1992.28,2.23765,2.50915,1.88886,0.39373,0.30162,0.28806,0.09637,2.50322,2.60943,2.00846,0.000434,0.000434,0.000434
12,2170.44,2.15749,2.42283,1.80759,0.37069,0.26351,0.26269,0.09252,2.44718,2.68628,1.99056,0.0004274,0.0004274,0.0004274
13,2348.08,2.13777,2.42367,1.81339,0.33545,0.28787,0.26974,0.09488,2.49307,2.51452,1.96277,0.0004208,0.0004208,0.0004208
14,2526.26,2.14809,2.32017,1.8077,0.31956,0.24907,0.24014,0.07526,2.4612,2.67712,1.93913,0.0004142,0.0004142,0.0004142
15,2704.43,2.12857,2.36959,1.7785,0.34565,0.30199,0.26845,0.09528,2.50286,2.61644,1.97011,0.0004076,0.0004076,0.0004076
16,2882.55,2.09833,2.31475,1.74549,0.61084,0.23661,0.26196,0.08699,2.52311,2.42224,2.00093,0.000401,0.000401,0.000401
17,3060.91,2.05897,2.26735,1.74476,0.35767,0.28407,0.28277,0.10692,2.48056,2.91179,1.96525,0.0003944,0.0003944,0.0003944
18,3239.82,2.06249,2.24969,1.73572,0.35139,0.35827,0.26709,0.09847,2.46954,2.46391,1.95568,0.0003878,0.0003878,0.0003878
19,3417.36,2.05516,2.2049,1.73726,0.39498,0.27295,0.27774,0.10308,2.52197,2.51832,2.01464,0.0003812,0.0003812,0.0003812
20,3595.07,2.0595,2.21046,1.70778,0.37678,0.32772,0.28565,0.09974,2.4775,2.39984,2.00367,0.0003746,0.0003746,0.0003746
21,3773.16,2.04273,2.12643,1.71467,0.44077,0.30664,0.30368,0.09157,2.47697,2.68106,1.95404,0.000368,0.000368,0.000368
22,3951.04,2.03413,2.15358,1.72237,0.4037,0.32135,0.26418,0.08673,2.4342,2.63747,1.93689,0.0003614,0.0003614,0.0003614
23,4128.57,1.98327,2.13297,1.68727,0.41683,0.36376,0.30154,0.099,2.46909,2.40925,1.99146,0.0003548,0.0003548,0.0003548
24,4306.03,1.97024,2.03778,1.6573,0.36402,0.32021,0.31115,0.12638,2.44624,2.25225,1.93586,0.0003482,0.0003482,0.0003482
25,4484.6,1.96067,2.01168,1.68642,0.47423,0.34142,0.31798,0.122,2.48515,2.33734,1.95722,0.0003416,0.0003416,0.0003416
26,4662.45,1.96896,1.98446,1.66861,0.43278,0.32336,0.30642,0.10594,2.46442,2.29002,1.91014,0.000335,0.000335,0.000335
27,4840.45,1.95973,2.01085,1.67397,0.41839,0.32556,0.29346,0.10288,2.42406,2.32207,1.9615,0.0003284,0.0003284,0.0003284
28,5020.43,1.95505,2.03413,1.66575,0.32392,0.39585,0.26935,0.10331,2.39678,2.34721,1.94236,0.0003218,0.0003218,0.0003218
29,5201.08,1.95039,1.98347,1.65082,0.34578,0.40254,0.28379,0.10355,2.36297,2.52505,1.90193,0.0003152,0.0003152,0.0003152
30,5378.88,1.89488,1.93548,1.61821,0.41152,0.3499,0.29286,0.0993,2.39727,2.8384,1.92918,0.0003086,0.0003086,0.0003086
31,5556.12,1.93935,1.91298,1.62868,0.37017,0.39673,0.27588,0.09478,2.46667,2.56277,1.93499,0.000302,0.000302,0.000302
