epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1632,2.44781,3.86408,1.93832,0.05564,0.24706,0.11249,0.0346,2.47284,4.21171,2.13024,0.0674714,0.000328571,0.000328571
2,153.375,2.43059,3.13205,1.95997,0.29487,0.1415,0.13592,0.0377,2.65632,3.79768,2.22605,0.0344649,0.000655352,0.000655352
3,221.492,2.3792,2.96451,1.8978,0.47431,0.14233,0.13409,0.03974,2.65177,4.75198,2.37165,0.00145172,0.000975532,0.000975532
4,294.258,2.34853,2.89753,1.91477,0.40463,0.14799,0.09058,0.0265,2.62195,4.32079,2.31401,0.0009703,0.0009703,0.0009703
5,362.17,2.35535,2.70915,1.92925,0.45435,0.09744,0.11821,0.03136,2.63572,3.95858,2.15158,0.0009604,0.0009604,0.0009604
6,430.861,2.27707,2.64083,1.87135,0.14843,0.22559,0.14148,0.04484,2.57297,3.58934,2.12185,0.0009505,0.0009505,0.0009505
7,498.05,2.2796,2.68,1.88229,0.4663,0.21321,0.18289,0.06197,2.58858,2.98994,2.16914,0.0009406,0.0009406,0.0009406
8,563.678,2.25836,2.61249,1.85138,0.27676,0.23543,0.17878,0.06094,2.50527,3.03215,2.07806,0.0009307,0.0009307,0.0009307
9,629.246,2.24892,2.54661,1.83363,0.21905,0.24079,0.16302,0.04961,2.55057,3.21152,2.0461,0.0009208,0.0009208,0.0009208
10,698.502,2.21982,2.48691,1.81547,0.63282,0.17898,0.22615,0.07226,2.53629,2.79875,2.10959,0.0009109,0.0009109,0.0009109
11,765.479,2.17529,2.48244,1.7988,0.36795,0.24033,0.20196,0.059,2.43323,3.06167,2.03694,0.000901,0.000901,0.000901
12,831.235,2.13699,2.40929,1.78702,0.30797,0.27806,0.24104,0.07021,2.48869,2.80404,2.07412,0.0008911,0.0008911,0.0008911
13,896.972,2.10797,2.43961,1.75965,0.33755,0.17697,0.19954,0.07098,2.49933,2.7612,2.0885,0.0008812,0.0008812,0.0008812
14,962.365,2.09195,2.35665,1.73321,0.32854,0.19514,0.2128,0.06549,2.44756,2.87407,2.04304,0.0008713,0.0008713,0.0008713
15,1030.12,2.09254,2.30794,1.73579,0.23753,0.2778,0.23286,0.07253,2.54893,2.90428,2.10332,0.0008614,0.0008614,0.0008614
16,1095.71,2.07205,2.19119,1.70885,0.43689,0.32752,0.29077,0.07782,2.5096,2.56754,2.06316,0.0008515,0.0008515,0.0008515
17,1161.15,2.07981,2.20724,1.73759,0.69185,0.19773,0.22544,0.07354,2.50057,2.90621,2.09194,0.0008416,0.0008416,0.0008416
18,1226.54,2.07532,2.26023,1.70935,0.34673,0.20554,0.20378,0.07169,2.45414,2.88979,2.00131,0.0008317,0.0008317,0.0008317
19,1292.14,2.03463,2.15354,1.67187,0.36549,0.25733,0.2528,0.09771,2.4301,2.55519,2.05467,0.0008218,0.0008218,0.0008218
20,1357.87,2.05618,2.14772,1.70147,0.27701,0.30568,0.23587,0.07951,2.47302,2.62745,2.04909,0.0008119,0.0008119,0.0008119
