epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4579,2.15539,2.61811,1.7244,0.43106,0.26331,0.28224,0.09272,2.51315,2.91773,1.95778,0.000408333,0.000408333,0.000408333
2,111.584,2.22677,2.70225,1.75557,0.2486,0.15668,0.15559,0.05341,2.48546,3.53641,1.94502,0.000816833,0.000816833,0.000816833
3,159.343,2.28762,2.72823,1.7995,0.23875,0.20018,0.17788,0.05268,2.73883,2.98454,2.07329,0.00121708,0.00121708,0.00121708
4,210.367,2.29546,2.74859,1.83878,0.37307,0.20597,0.19788,0.06608,2.54093,3.44445,2.0812,0.00121287,0.00121287,0.00121287
5,258.392,2.3157,2.63551,1.84231,0.18225,0.28141,0.15976,0.0494,2.60059,3.24505,2.16567,0.0012005,0.0012005,0.0012005
6,306.507,2.289,2.62014,1.84758,0.37502,0.14864,0.15818,0.05232,2.57551,3.4809,2.13777,0.00118812,0.00118812,0.00118812
7,354.509,2.27489,2.57984,1.882,0.50831,0.21465,0.18996,0.07047,2.62712,3.04209,2.18046,0.00117575,0.00117575,0.00117575
8,402.325,2.24519,2.5241,1.82181,0.23486,0.2233,0.18502,0.06449,2.55058,2.91918,2.10285,0.00116337,0.00116337,0.00116337
9,450.124,2.24513,2.50191,1.7914,0.19114,0.19643,0.16997,0.05079,2.61681,3.06666,2.10776,0.001151,0.001151,0.001151
10,497.72,2.21583,2.50238,1.81555,0.19723,0.22159,0.19953,0.06859,2.62746,2.91664,2.15564,0.00113863,0.00113863,0.00113863
11,545.531,2.23202,2.44156,1.82811,0.29391,0.23521,0.18775,0.05833,2.59273,2.98823,2.01794,0.00112625,0.00112625,0.00112625
12,593.38,2.19421,2.39918,1.76056,0.70926,0.14732,0.19912,0.06501,2.54934,2.91227,2.08956,0.00111388,0.00111388,0.00111388
13,641.659,2.15676,2.33988,1.76592,0.36937,0.24547,0.2369,0.07979,2.57501,2.68258,2.01334,0.0011015,0.0011015,0.0011015
14,692.046,2.1587,2.33265,1.72495,0.55379,0.21177,0.22123,0.0778,2.53331,2.70435,2.00198,0.00108913,0.00108913,0.00108913
15,739.659,2.17849,2.31328,1.72781,0.39673,0.27494,0.23101,0.07749,2.55574,2.77159,2.04494,0.00107675,0.00107675,0.00107675
16,788.696,2.16423,2.31976,1.74733,0.21898,0.23546,0.20761,0.07409,2.46415,2.70334,2.03413,0.00106437,0.00106437,0.00106437
17,836.648,2.13904,2.32595,1.76002,0.33602,0.28842,0.24136,0.08791,2.52331,2.62702,2.0408,0.001052,0.001052,0.001052
18,884.737,2.13223,2.23622,1.72211,0.29185,0.2156,0.22732,0.077,2.52062,2.76291,2.00907,0.00103962,0.00103962,0.00103962
19,932.664,2.08486,2.24253,1.70334,0.38396,0.22915,0.25043,0.07318,2.55772,2.85378,2.06388,0.00102725,0.00102725,0.00102725
20,980.645,2.0723,2.20527,1.69263,0.35542,0.28941,0.25863,0.08962,2.49122,2.64293,1.97363,0.00101488,0.00101488,0.00101488
21,1028.71,2.06379,2.17434,1.68925,0.23568,0.27898,0.23172,0.07805,2.45938,2.69048,2.01656,0.0010025,0.0010025,0.0010025
22,1076.73,2.069,2.13567,1.70274,0.256,0.24397,0.23373,0.08017,2.46175,2.77288,2.00912,0.000990125,0.000990125,0.000990125
23,1126.13,2.03225,2.08418,1.66742,0.45644,0.32196,0.26507,0.09646,2.51943,2.71735,2.02792,0.00097775,0.00097775,0.00097775
24,1174.98,2.07699,2.10577,1.72117,0.25892,0.26739,0.24874,0.08613,2.55442,2.71235,2.01388,0.000965375,0.000965375,0.000965375
25,1223.01,2.0607,2.11703,1.66549,0.26827,0.32066,0.25733,0.09079,2.45406,2.66989,1.9679,0.000953,0.000953,0.000953
26,1270.86,2.02682,2.05386,1.63321,0.26716,0.2864,0.24097,0.083,2.4868,2.69006,2.01625,0.000940625,0.000940625,0.000940625
27,1319.04,2.03096,2.08506,1.67048,0.35068,0.3051,0.24126,0.09023,2.43979,2.68943,1.95793,0.00092825,0.00092825,0.00092825
28,1366.85,2.01161,2.02946,1.65728,0.35342,0.32691,0.25634,0.08638,2.42034,2.73269,1.96683,0.000915875,0.000915875,0.000915875
29,1414.23,2.03098,2.01473,1.63297,0.49704,0.26766,0.30568,0.09873,2.46591,2.66149,1.95655,0.0009035,0.0009035,0.0009035
30,1461.97,2.03993,2.03466,1.64296,0.42423,0.25862,0.27292,0.09512,2.38832,2.60202,1.95408,0.000891125,0.000891125,0.000891125
31,1509.87,1.9587,1.96318,1.63414,0.46311,0.25989,0.29844,0.10442,2.4647,2.64412,1.96963,0.00087875,0.00087875,0.00087875
32,1557.3,1.97259,1.93256,1.59213,0.3877,0.32242,0.30226,0.10727,2.47265,2.43651,1.995,0.000866375,0.000866375,0.000866375
33,1604.97,1.9949,1.94799,1.64639,0.37109,0.31267,0.30009,0.12146,2.35064,2.45409,1.92426,0.000854,0.000854,0.000854
34,1652.89,1.98888,1.92106,1.63691,0.34496,0.30906,0.28395,0.09562,2.45594,2.62466,1.99855,0.000841625,0.000841625,0.000841625
35,1700.32,1.96729,1.89559,1.61144,0.39773,0.31017,0.30921,0.11259,2.53997,2.58135,2.00184,0.00082925,0.00082925,0.00082925
36,1748.92,1.93961,1.81241,1.57574,0.37811,0.26257,0.28651,0.09638,2.46613,2.61754,2.05304,0.000816875,0.000816875,0.000816875
37,1796.95,1.92547,1.82556,1.57326,0.33467,0.31244,0.28333,0.0999,2.56338,2.65867,2.06457,0.0008045,0.0008045,0.0008045
38,1845.42,1.94763,1.85455,1.60629,0.35805,0.30956,0.29242,0.09806,2.56975,2.49614,2.05545,0.000792125,0.000792125,0.000792125
39,1894.17,1.92865,1.86469,1.60948,0.34761,0.27875,0.2865,0.10258,2.49987,2.57129,2.02553,0.00077975,0.00077975,0.00077975
40,1942.09,1.90219,1.83268,1.5467,0.44432,0.27131,0.29668,0.11415,2.43961,2.50295,1.9777,0.000767375,0.000767375,0.000767375
41,1990.01,1.88684,1.80156,1.57656,0.32966,0.31104,0.27419,0.1023,2.52393,2.49539,1.99698,0.000755,0.000755,0.000755
42,2037.48,1.90446,1.75252,1.57116,0.56629,0.2691,0.31198,0.11393,2.5152,2.35076,1.99505,0.000742625,0.000742625,0.000742625
43,2085.17,1.90898,1.77386,1.56972,0.3492,0.37201,0.33345,0.10733,2.44196,2.46017,1.9579,0.00073025,0.00073025,0.00073025
44,2133.12,1.87462,1.75758,1.54455,0.68247,0.26056,0.30982,0.1075,2.43111,2.58715,2.03272,0.000717875,0.000717875,0.000717875
45,2180.98,1.90441,1.78152,1.59127,0.42932,0.27796,0.29326,0.10165,2.50739,2.46577,2.0533,0.0007055,0.0007055,0.0007055
46,2228.94,1.8597,1.75393,1.55714,0.41895,0.2873,0.32469,0.12684,2.46445,2.46891,1.99518,0.000693125,0.000693125,0.000693125
47,2276.9,1.86816,1.72585,1.55939,0.35014,0.33718,0.29454,0.1078,2.47954,2.58446,1.99452,0.00068075,0.00068075,0.00068075
48,2325.06,1.82499,1.66517,1.51748,0.45293,0.29577,0.32671,0.12241,2.50797,2.39003,2.01121,0.000668375,0.000668375,0.000668375
49,2373.48,1.83197,1.67416,1.52417,0.48031,0.32603,0.3267,0.11493,2.47508,2.49993,1.96264,0.000656,0.000656,0.000656
50,2421.51,1.86579,1.67471,1.54383,0.32268,0.41797,0.32683,0.11512,2.49553,2.50593,1.98258,0.000643625,0.000643625,0.000643625
51,2469.56,1.84377,1.6699,1.53619,0.38582,0.36595,0.35698,0.12749,2.48333,2.4351,1.96657,0.00063125,0.00063125,0.00063125
52,2517.29,1.80118,1.64875,1.50065,0.36858,0.36429,0.34621,0.13648,2.51325,2.47213,2.04735,0.000618875,0.000618875,0.000618875
